[START] Pre-training step:
>> Epoch 1 finished 	RBM Reconstruction error 4.863852
>> Epoch 88 finished 	RBM Reconstruction error 2.222498
>> Epoch 89 finished 	RBM Reconstruction error 2.222442
>> Epoch 90 finished 	RBM Reconstruction error 2.223866
>> Epoch 91 finished 	RBM Reconstruction error 2.229036
>> Epoch 92 finished 	RBM Reconstruction error 2.222254
>> Epoch 93 finished 	RBM Reconstruction error 2.220085
>> Epoch 94 finished 	RBM Reconstruction error 2.221531
>> Epoch 95 finished 	RBM Reconstruction error 2.226670
>> Epoch 96 finished 	RBM Reconstruction error 2.223608
>> Epoch 97 finished 	RBM Reconstruction error 2.223086
>> Epoch 98 finished 	RBM Reconstruction error 2.223968
>> Epoch 99 finished 	RBM Reconstruction error 2.229213
>> Epoch 100 finished 	RBM Reconstruction error 2.227298
>> Epoch 1 finished 	RBM Reconstruction error 0.365682
>> Epoch 2 finished 	RBM Reconstruction error 0.325451
>> Epoch 3 finished 	RBM Reconstruction error 0.312736
>> Epoch 4 finished 	RBM Reconstruction error 0.313439
>> Epoch 5 finished 	RBM Reconstruction error 0.310910
>> Epoch 6 finished 	RBM Reconstruction error 0.300273
>> Epoch 7 finished 	RBM Reconstruction error 0.301216
>> Epoch 8 finished 	RBM Reconstruction error 0.291408
>> Epoch 9 finished 	RBM Reconstruction error 0.287196
>> Epoch 10 finished 	RBM Reconstruction error 0.280150
>> Epoch 11 finished 	RBM Reconstruction error 0.272573
>> Epoch 12 finished 	RBM Reconstruction error 0.249642
>> Epoch 13 finished 	RBM Reconstruction error 0.239350
>> Epoch 14 finished 	RBM Reconstruction error 0.228701
>> Epoch 15 finished 	RBM Reconstruction error 0.205200
>> Epoch 16 finished 	RBM Reconstruction error 0.200209
>> Epoch 17 finished 	RBM Reconstruction error 0.179616
>> Epoch 18 finished 	RBM Reconstruction error 0.159347
>> Epoch 19 finished 	RBM Reconstruction error 0.148640
>> Epoch 20 finished 	RBM Reconstruction error 0.137312
>> Epoch 21 finished 	RBM Reconstruction error 0.122546
>> Epoch 22 finished 	RBM Reconstruction error 0.114708
>> Epoch 23 finished 	RBM Reconstruction error 0.105844
>> Epoch 24 finished 	RBM Reconstruction error 0.097156
>> Epoch 25 finished 	RBM Reconstruction error 0.090814
>> Epoch 26 finished 	RBM Reconstruction error 0.083949
>> Epoch 27 finished 	RBM Reconstruction error 0.074156
>> Epoch 28 finished 	RBM Reconstruction error 0.073483
>> Epoch 29 finished 	RBM Reconstruction error 0.069284
>> Epoch 30 finished 	RBM Reconstruction error 0.064023
>> Epoch 31 finished 	RBM Reconstruction error 0.063910
>> Epoch 32 finished 	RBM Reconstruction error 0.059383
>> Epoch 33 finished 	RBM Reconstruction error 0.057021
>> Epoch 34 finished 	RBM Reconstruction error 0.058074
>> Epoch 35 finished 	RBM Reconstruction error 0.054407
>> Epoch 36 finished 	RBM Reconstruction error 0.051689
>> Epoch 37 finished 	RBM Reconstruction error 0.049597
>> Epoch 38 finished 	RBM Reconstruction error 0.049027
>> Epoch 39 finished 	RBM Reconstruction error 0.055516
>> Epoch 40 finished 	RBM Reconstruction error 0.046391
>> Epoch 41 finished 	RBM Reconstruction error 0.050107
>> Epoch 42 finished 	RBM Reconstruction error 0.049405
>> Epoch 43 finished 	RBM Reconstruction error 0.043489
>> Epoch 44 finished 	RBM Reconstruction error 0.047257
>> Epoch 45 finished 	RBM Reconstruction error 0.045550
>> Epoch 46 finished 	RBM Reconstruction error 0.047259
>> Epoch 47 finished 	RBM Reconstruction error 0.042671
>> Epoch 48 finished 	RBM Reconstruction error 0.041729
>> Epoch 49 finished 	RBM Reconstruction error 0.042997
>> Epoch 50 finished 	RBM Reconstruction error 0.041036
>> Epoch 51 finished 	RBM Reconstruction error 0.042887
>> Epoch 52 finished 	RBM Reconstruction error 0.042278
>> Epoch 53 finished 	RBM Reconstruction error 0.038408
>> Epoch 54 finished 	RBM Reconstruction error 0.037996
>> Epoch 55 finished 	RBM Reconstruction error 0.037337
>> Epoch 56 finished 	RBM Reconstruction error 0.036292
>> Epoch 57 finished 	RBM Reconstruction error 0.034733
>> Epoch 58 finished 	RBM Reconstruction error 0.035581
>> Epoch 59 finished 	RBM Reconstruction error 0.036119
>> Epoch 60 finished 	RBM Reconstruction error 0.036503
>> Epoch 61 finished 	RBM Reconstruction error 0.034859
>> Epoch 62 finished 	RBM Reconstruction error 0.031916
>> Epoch 63 finished 	RBM Reconstruction error 0.030577
>> Epoch 64 finished 	RBM Reconstruction error 0.033377
>> Epoch 65 finished 	RBM Reconstruction error 0.032577
>> Epoch 66 finished 	RBM Reconstruction error 0.032175
>> Epoch 67 finished 	RBM Reconstruction error 0.033735
>> Epoch 68 finished 	RBM Reconstruction error 0.028854
>> Epoch 69 finished 	RBM Reconstruction error 0.029115
>> Epoch 70 finished 	RBM Reconstruction error 0.028140
>> Epoch 71 finished 	RBM Reconstruction error 0.030152
>> Epoch 72 finished 	RBM Reconstruction error 0.027246
>> Epoch 73 finished 	RBM Reconstruction error 0.027387
>> Epoch 74 finished 	RBM Reconstruction error 0.029323
>> Epoch 75 finished 	RBM Reconstruction error 0.025144
>> Epoch 76 finished 	RBM Reconstruction error 0.026444
>> Epoch 77 finished 	RBM Reconstruction error 0.024692
>> Epoch 78 finished 	RBM Reconstruction error 0.022796
>> Epoch 79 finished 	RBM Reconstruction error 0.023968
>> Epoch 80 finished 	RBM Reconstruction error 0.028003
>> Epoch 81 finished 	RBM Reconstruction error 0.022798
>> Epoch 82 finished 	RBM Reconstruction error 0.024104
>> Epoch 83 finished 	RBM Reconstruction error 0.025128
>> Epoch 84 finished 	RBM Reconstruction error 0.022967
>> Epoch 85 finished 	RBM Reconstruction error 0.022771
>> Epoch 86 finished 	RBM Reconstruction error 0.022681
>> Epoch 87 finished 	RBM Reconstruction error 0.021332
>> Epoch 88 finished 	RBM Reconstruction error 0.020005
>> Epoch 89 finished 	RBM Reconstruction error 0.019480
>> Epoch 90 finished 	RBM Reconstruction error 0.017680
>> Epoch 91 finished 	RBM Reconstruction error 0.019757
>> Epoch 92 finished 	RBM Reconstruction error 0.017607
>> Epoch 93 finished 	RBM Reconstruction error 0.019009
>> Epoch 94 finished 	RBM Reconstruction error 0.016598
>> Epoch 95 finished 	RBM Reconstruction error 0.016318
>> Epoch 96 finished 	RBM Reconstruction error 0.016992
>> Epoch 97 finished 	RBM Reconstruction error 0.017150
>> Epoch 98 finished 	RBM Reconstruction error 0.014942
>> Epoch 99 finished 	RBM Reconstruction error 0.015196
>> Epoch 100 finished 	RBM Reconstruction error 0.015705
>> Epoch 1 finished 	RBM Reconstruction error 4.083755
>> Epoch 2 finished 	RBM Reconstruction error 2.187365
>> Epoch 3 finished 	RBM Reconstruction error 1.220406
>> Epoch 4 finished 	RBM Reconstruction error 0.660379
>> Epoch 5 finished 	RBM Reconstruction error 0.394357
>> Epoch 6 finished 	RBM Reconstruction error 0.308996
>> Epoch 7 finished 	RBM Reconstruction error 0.252552
>> Epoch 8 finished 	RBM Reconstruction error 0.222603
>> Epoch 9 finished 	RBM Reconstruction error 0.206368
>> Epoch 10 finished 	RBM Reconstruction error 0.193676
>> Epoch 11 finished 	RBM Reconstruction error 0.173309
>> Epoch 12 finished 	RBM Reconstruction error 0.162839
>> Epoch 13 finished 	RBM Reconstruction error 0.154517
>> Epoch 14 finished 	RBM Reconstruction error 0.139896
>> Epoch 15 finished 	RBM Reconstruction error 0.122685
>> Epoch 16 finished 	RBM Reconstruction error 0.121266
>> Epoch 17 finished 	RBM Reconstruction error 0.116991
>> Epoch 18 finished 	RBM Reconstruction error 0.096658
>> Epoch 19 finished 	RBM Reconstruction error 0.100963
>> Epoch 20 finished 	RBM Reconstruction error 0.091366
>> Epoch 21 finished 	RBM Reconstruction error 0.078892
>> Epoch 22 finished 	RBM Reconstruction error 0.079302
>> Epoch 23 finished 	RBM Reconstruction error 0.076569
>> Epoch 24 finished 	RBM Reconstruction error 0.063561
>> Epoch 25 finished 	RBM Reconstruction error 0.069533
>> Epoch 26 finished 	RBM Reconstruction error 0.063989
>> Epoch 27 finished 	RBM Reconstruction error 0.067372
>> Epoch 28 finished 	RBM Reconstruction error 0.060214
>> Epoch 29 finished 	RBM Reconstruction error 0.058121
>> Epoch 30 finished 	RBM Reconstruction error 0.055826
>> Epoch 31 finished 	RBM Reconstruction error 0.051400
>> Epoch 32 finished 	RBM Reconstruction error 0.059420
>> Epoch 33 finished 	RBM Reconstruction error 0.051350
>> Epoch 34 finished 	RBM Reconstruction error 0.055413
>> Epoch 35 finished 	RBM Reconstruction error 0.051686
>> Epoch 36 finished 	RBM Reconstruction error 0.052198
>> Epoch 37 finished 	RBM Reconstruction error 0.048573
>> Epoch 38 finished 	RBM Reconstruction error 0.043805
>> Epoch 39 finished 	RBM Reconstruction error 0.050425
>> Epoch 40 finished 	RBM Reconstruction error 0.046748
>> Epoch 41 finished 	RBM Reconstruction error 0.050633
>> Epoch 42 finished 	RBM Reconstruction error 0.041877
>> Epoch 43 finished 	RBM Reconstruction error 0.039535
>> Epoch 44 finished 	RBM Reconstruction error 0.041634
>> Epoch 45 finished 	RBM Reconstruction error 0.048430
>> Epoch 46 finished 	RBM Reconstruction error 0.037803
>> Epoch 47 finished 	RBM Reconstruction error 0.044534
>> Epoch 48 finished 	RBM Reconstruction error 0.042378
>> Epoch 49 finished 	RBM Reconstruction error 0.038610
>> Epoch 50 finished 	RBM Reconstruction error 0.043028
>> Epoch 51 finished 	RBM Reconstruction error 0.040471
>> Epoch 52 finished 	RBM Reconstruction error 0.036229
>> Epoch 53 finished 	RBM Reconstruction error 0.036692
>> Epoch 54 finished 	RBM Reconstruction error 0.033880
>> Epoch 55 finished 	RBM Reconstruction error 0.035568
>> Epoch 56 finished 	RBM Reconstruction error 0.037234
>> Epoch 57 finished 	RBM Reconstruction error 0.036036
>> Epoch 58 finished 	RBM Reconstruction error 0.032675
>> Epoch 59 finished 	RBM Reconstruction error 0.037615
>> Epoch 60 finished 	RBM Reconstruction error 0.034975
>> Epoch 61 finished 	RBM Reconstruction error 0.039419
>> Epoch 62 finished 	RBM Reconstruction error 0.033813
>> Epoch 63 finished 	RBM Reconstruction error 0.037080
>> Epoch 64 finished 	RBM Reconstruction error 0.038083
>> Epoch 65 finished 	RBM Reconstruction error 0.037364
>> Epoch 66 finished 	RBM Reconstruction error 0.036598
>> Epoch 67 finished 	RBM Reconstruction error 0.043252
>> Epoch 68 finished 	RBM Reconstruction error 0.037775
>> Epoch 69 finished 	RBM Reconstruction error 0.036336
>> Epoch 70 finished 	RBM Reconstruction error 0.036007
>> Epoch 71 finished 	RBM Reconstruction error 0.038019
>> Epoch 72 finished 	RBM Reconstruction error 0.036036
>> Epoch 73 finished 	RBM Reconstruction error 0.037087
>> Epoch 74 finished 	RBM Reconstruction error 0.036773
>> Epoch 75 finished 	RBM Reconstruction error 0.033307
>> Epoch 76 finished 	RBM Reconstruction error 0.037821
>> Epoch 77 finished 	RBM Reconstruction error 0.041631
>> Epoch 78 finished 	RBM Reconstruction error 0.032619
>> Epoch 79 finished 	RBM Reconstruction error 0.039160
>> Epoch 80 finished 	RBM Reconstruction error 0.033188
>> Epoch 81 finished 	RBM Reconstruction error 0.036367
>> Epoch 82 finished 	RBM Reconstruction error 0.033789
>> Epoch 83 finished 	RBM Reconstruction error 0.036263
>> Epoch 84 finished 	RBM Reconstruction error 0.029786
>> Epoch 85 finished 	RBM Reconstruction error 0.039153
>> Epoch 86 finished 	RBM Reconstruction error 0.027886
>> Epoch 87 finished 	RBM Reconstruction error 0.032314
>> Epoch 88 finished 	RBM Reconstruction error 0.041611
>> Epoch 89 finished 	RBM Reconstruction error 0.034009
>> Epoch 90 finished 	RBM Reconstruction error 0.034589
>> Epoch 91 finished 	RBM Reconstruction error 0.036269
>> Epoch 92 finished 	RBM Reconstruction error 0.032250
>> Epoch 93 finished 	RBM Reconstruction error 0.033806
>> Epoch 94 finished 	RBM Reconstruction error 0.035520
>> Epoch 95 finished 	RBM Reconstruction error 0.029318
>> Epoch 96 finished 	RBM Reconstruction error 0.030224
>> Epoch 97 finished 	RBM Reconstruction error 0.028525
>> Epoch 98 finished 	RBM Reconstruction error 0.033095
>> Epoch 99 finished 	RBM Reconstruction error 0.033305
>> Epoch 100 finished 	RBM Reconstruction error 0.029310
[END] Pre-training step
q saat ini:  1
